"2020-03-07 22:43:37 [restartedMain] INFO  c.d.p.t.ProductCatalogSearchApplication - Starting ProductCatalogSearchApplication on DESKTOP-CVAQG54 with PID 8172 (A:\workspace\ProductCatalogSearch\target\classes started by rahul in A:\workspace\ProductCatalogSearch)
""2020-03-07 22:55:51 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2020-03-07 22:55:51 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2020-03-07 22:55:51 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2020-03-07 22:55:51 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2020-03-07 22:55:51 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-03-07 22:55:51 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9022 (http) with context path ''
""2020-03-07 22:55:51 [restartedMain] INFO  c.d.p.t.ProductCatalogSearchApplication - Started ProductCatalogSearchApplication in 0.504 seconds (JVM running for 81755.851)
""2020-03-07 22:55:51 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2020-03-07 23:06:49 [Thread-386] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2020-03-07 23:06:49 [Thread-386] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2020-03-07 23:06:49 [Thread-386] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
""2020-03-07 23:06:49 [Thread-386] WARN  o.s.b.f.s.DisposableBeanAdapter - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
""2020-03-07 23:06:49 [Thread-386] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-55 - Shutdown initiated...
""2020-03-07 23:06:49 [Thread-386] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-55 - Shutdown completed.
""2020-03-07 23:10:20 [restartedMain] INFO  c.d.p.t.ProductCatalogSearchApplication - Starting ProductCatalogSearchApplication on DESKTOP-CVAQG54 with PID 8172 (A:\workspace\ProductCatalogSearch\target\classes started by rahul in A:\workspace\ProductCatalogSearch)
""2020-03-07 23:10:20 [restartedMain] INFO  c.d.p.t.ProductCatalogSearchApplication - No active profile set, falling back to default profiles: default
